"TICKET","TRANSACTION DATE","TRANSACTION TYPE","DETAILS","INSTRUMENT","PRICE","UNITS","DIRECTION","SPREAD COST","STOP LOSS","TAKE PROFIT","TRAILING STOP","FINANCING","FUNDING RATE","COMMISSION","CONVERSION RATE","CONVERSION FEE","PL","AMOUNT","BALANCE"
"3570","2026-01-04 17:55:07 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","","","","","","","","","","","","","",""
"3571","2026-01-04 17:55:07 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","1092.00","","","","","","","","","","","","",""
"3572","2026-01-04 18:10:08 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","","","","","","","","","","","","","",""
"3573","2026-01-04 18:10:08 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","1092.00","","","","","","","","","","","","",""
"3574","2026-01-04 18:25:09 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","","","","","","","","","","","","","",""
"3575","2026-01-04 18:25:09 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","1092.00","","","","","","","","","","","","",""
"3576","2026-01-04 18:40:10 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","","","","","","","","","","","","","",""
"3577","2026-01-04 18:40:10 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","1092.00","","","","","","","","","","","","",""
"3578","2026-01-04 18:55:10 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","","","","","","","","","","","","","",""
"3579","2026-01-04 18:55:10 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","1092.00","","","","","","","","","","","","",""
"3580","2026-01-04 19:10:10 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","","","","","","","","","","","","","",""
"3581","2026-01-04 19:10:10 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","1092.00","","","","","","","","","","","","",""
"3582","2026-01-04 19:25:11 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","","","","","","","","","","","","","",""
"3583","2026-01-04 19:25:11 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","1092.00","","","","","","","","","","","","",""
"3584","2026-01-04 19:40:12 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","","","","","","","","","","","","","",""
"3585","2026-01-04 19:40:12 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","1092.00","","","","","","","","","","","","",""
"3586","2026-01-04 19:55:13 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","","","","","","","","","","","","","",""
"3587","2026-01-04 19:55:13 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","1092.00","","","","","","","","","","","","",""
"3588","2026-01-04 20:10:14 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","","","","","","","","","","","","","",""
"3589","2026-01-04 20:10:14 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","1092.00","","","","","","","","","","","","",""
"3590","2026-01-04 20:25:14 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","","","","","","","","","","","","","",""
"3591","2026-01-04 20:25:14 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","1092.00","","","","","","","","","","","","",""
"3592","2026-01-04 20:40:15 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","","","","","","","","","","","","","",""
"3593","2026-01-04 20:40:15 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","1092.00","","","","","","","","","","","","",""
"3594","2026-01-04 20:55:16 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","","","","","","","","","","","","","",""
"3595","2026-01-04 20:55:16 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","1092.00","","","","","","","","","","","","",""
"3596","2026-01-04 21:10:16 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","","","","","","","","","","","","","",""
"3597","2026-01-04 21:10:16 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","1092.00","","","","","","","","","","","","",""
"3598","2026-01-04 21:25:18 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","","","","","","","","","","","","","",""
"3599","2026-01-04 21:25:18 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","1092.00","","","","","","","","","","","","",""
"3600","2026-01-04 21:40:18 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","","","","","","","","","","","","","",""
"3601","2026-01-04 21:40:18 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","1092.00","","","","","","","","","","","","",""
"3602","2026-01-04 21:55:18 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","","","","","","","","","","","","","",""
"3603","2026-01-04 21:55:18 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","1092.00","","","","","","","","","","","","",""
"3604","2026-01-04 22:10:20 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","","","","","","","","","","","","","",""
"3605","2026-01-04 22:10:20 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","1092.00","","","","","","","","","","","","",""
"3606","2026-01-04 22:25:20 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","","","","","","","","","","","","","",""
"3607","2026-01-04 22:25:20 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","1092.00","","","","","","","","","","","","",""
"3608","2026-01-04 22:40:21 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","","","","","","","","","","","","","",""
"3609","2026-01-04 22:40:21 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","1092.00","","","","","","","","","","","","",""
"3610","2026-01-04 22:55:22 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","","","","","","","","","","","","","",""
"3611","2026-01-04 22:55:22 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","1092.00","","","","","","","","","","","","",""
"3612","2026-01-04 23:10:23 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","","","","","","","","","","","","","",""
"3613","2026-01-04 23:10:23 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","1092.00","","","","","","","","","","","","",""
"3614","2026-01-04 23:25:23 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","","","","","","","","","","","","","",""
"3615","2026-01-04 23:25:23 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","1092.00","","","","","","","","","","","","",""
"3616","2026-01-04 23:40:24 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","","","","","","","","","","","","","",""
"3617","2026-01-04 23:40:24 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","1092.00","","","","","","","","","","","","",""
"3618","2026-01-04 23:55:25 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","","","","","","","","","","","","","",""
"3619","2026-01-04 23:55:25 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","1092.00","","","","","","","","","","","","",""
"3620","2026-01-05 00:10:25 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","","","","","","","","","","","","","",""
"3621","2026-01-05 00:10:25 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","1092.00","","","","","","","","","","","","",""
"3622","2026-01-05 00:25:26 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","","","","","","","","","","","","","",""
"3623","2026-01-05 00:25:26 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","1092.00","","","","","","","","","","","","",""
"3624","2026-01-05 00:40:27 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","","","","","","","","","","","","","",""
"3625","2026-01-05 00:40:27 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","1092.00","","","","","","","","","","","","",""
"3626","2026-01-05 00:55:29 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","","","","","","","","","","","","","",""
"3627","2026-01-05 00:55:29 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","1092.00","","","","","","","","","","","","",""
"3628","2026-01-05 04:48:01 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","","","","","","","","","","","","","",""
"3629","2026-01-05 04:48:01 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","1092.00","","","","","","","","","","","","",""
"3630","2026-01-05 04:48:01 -12","MARKET_ORDER","CLIENT_ORDER","USD/JPY","","51957.00","Buy","","","","","","","","","","","",""
"3631","2026-01-05 04:48:01 -12","ORDER_FILL","MARKET_ORDER","USD/JPY","156.34300","51957.00","Buy","2.9911","","","","0.00000","","0.0000","0.0064","-0.0306","6.16480","","5201.96"
"3632","2026-01-05 10:00:00 -12","DAILY_FINANCING","","","","","","","","","","2.95440","","","","0.0000","","","5204.92"
"","2026-01-05 10:00:00 -12","DAILY_FINANCING","Trade ID: 3631","USD/JPY","","","","","","","","2.95440","0.0212","","","","","",""
"3633","2026-01-05 11:03:19 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","50865.00","","","","","","","","","","","","",""
"3634","2026-01-05 11:03:19 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","","","","","","","","","","","","","",""
"3635","2026-01-05 11:03:19 -12","MARKET_ORDER","CLIENT_ORDER","USD/JPY","","52049.00","Sell","","","","","","","","","","","",""
"3636","2026-01-05 11:03:19 -12","ORDER_FILL","MARKET_ORDER","USD/JPY","156.55000","52049.00","Sell","3.3245","","","","0.00000","","0.0000","0.0064","-0.3320","66.91630","","5271.83"
